Lugar,Confirmados,Sospechosos,Descartados,Recuperados,Defunciones
Estatal,42231,2859,21864,23550,3975
Chihuahua,9654,-,-,-,798
Parral,1517,-,-,-,144
Ojinaga,763,-,-,-,8
Camargo,289,-,-,-,39
Guachochi,233,-,-,-,14
Jimenez,191,-,-,-,20
Aquiles,Serdán,152,-,-,-,7
Aldama,98,-,-,-,7
Allende,72,-,-,-,2
Namiquipa,67,-,-,-,6
Ascensión,64,-,-,-,12
Santa,Bárbara,60,-,-,-,5
Urique,37,-,-,-,4
Buenaventura,34,-,-,-,7
Manuel,Benavides,25,-,-,-,-
Sn.,Fco,del,Oro,23,-,-,-,6
Janos,20,-,-,-,3
Ocampo,15,-,-,-,4
Guadalupe,14,-,-,-,3
Cusihuiriachi,13,-,-,-,3
Ignacio,Zaragoza,12,-,-,-,3
Praxedis,G.,Guerrero,11,-,-,-,-
Julimes,9,-,-,-,4
Balleza,9,-,-,-,2
Carichi,8,-,5
Lopez,8,-,-,-,3
La,Cruz,7,-,-,-,-
Riva,Palacio,6,-,-,-,3
Coronado,5,-,-,-,3
El,Tule,4,-,-,-,1
Dr.,Belisario,Domínguez,3,-,-,-,2
Rosario,3,-,-,-,-
Uruachi,1,-,-,-,-
Mundial,"61,869,330",-,-,-,"1,448,896"
Juárez,23877,-,-,-,2318
Delicias,1634,-,-,-,192
Cuauhtémoc,1314,-,-,-,125
Nuevo,Casas,Grandes,634,-,-,-,55
Bocoyna,272,-,-,-,7
Meoqui,222,-,-,-,43
Saucillo,171,-,-,-,33
Chinipas,115,-,-,-,-
Ahumada,77,-,-,-,9
Gómez,Farías,68,-,-,-,4
Guazapares,66,-,-,-,1
Guerrero,60,-,-,-,19
Rosales,59,-,-,-,11
Madera,35,-,-,-,8
Guadalupe,y,Calvo,28,-,-,-,2
Casas,Grandes,24,-,-,-,5
La,Cruz,21,-,-,-,-
Nonoava,17,-,-,-,2
Bachiniva,14,-,-,-,1
Matamoros,14,-,-,-,-
Santa,Isabel,13,-,-,-,1
Valle,de,Zaragoza,12,-,-,-,2
San,Francisco,de,Conchos,11,-,-,-,3
Temosachic,9,-,-,-,5
Gran,Morelos,9,-,-,-,1
Coyame,del,Sotol,8,-,-,-,3
Galeana,7,-,-,-,4
Batopilas,6,-,-
San,Francisco,de,Borja,5,-,-,-,-
Satevo,5,-,-,-,-
Moris,4,-,-,-,2
Matachí,2,-,-,-,1
Maguarichi,1,-,-,-,-
Mèxico,"1,100,683","407,631",-,-,"105,655"
