Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
ALVVF,Altice Europe N.V.,6.46,+1.07,+19.76%,"48,550",46,7.523B,N/A,
CYDY,CytoDyn Inc.,3.9300,+0.4700,+13.58%,9.059M,3.164M,2.243B,N/A,
CDE,"Coeur Mining, Inc.",10.28,+1.17,+12.84%,9.107M,4.353M,2.506B,N/A,
FUBO,fuboTV Inc.,29.70,+3.23,+12.20%,11.806M,3.368M,2.007B,N/A,
ALFFF,"Alfa, S. A. B. de C. V.",0.7284,+0.0784,+12.06%,"38,260","44,084",3.788B,9.22,
FRHC,Freedom Holding Corp.,46.28,+4.94,+11.95%,2.066M,"479,343",2.701B,48.72,
RTOXF,Rotork plc,4.3000,+0.4500,+11.69%,"412,512",965,3.981B,47.78,
AI,"C3.ai, Inc.",113.69,+11.69,+11.46%,5.346M,14.669M,10.897B,N/A,
CERT,"Certara, Inc.",38.78,+3.77,+10.77%,2.06M,8.068M,5.933B,N/A,
ABNB,"Airbnb, Inc.",137.99,+13.19,+10.57%,20.41M,31.327M,82.442B,N/A,
CELH,"Celsius Holdings, Inc.",39.69,+3.69,+10.25%,1.424M,1.185M,2.844B,496.12,
MP,MP Materials Corp.,28.23,+2.55,+9.93%,6.182M,3.452M,4.402B,N/A,
JMIA,Jumia Technologies AG,39.29,+3.00,+8.27%,18.396M,15.266M,3.505B,N/A,
DT,"Dynatrace, Inc.",42.75,+3.27,+8.28%,5.171M,2.547M,12.06B,N/A,
LESL,"Leslie's, Inc.",22.55,+1.66,+7.95%,"873,711",1.628M,4.208B,N/A,
SHOP,Shopify Inc.,"1,157.31",+83.21,+7.75%,3.065M,1.596M,140.129B,714.83,
HL,Hecla Mining Company,5.82,+0.40,+7.38%,11.785M,7.63M,3.091B,N/A,
ALXO,ALX Oncology Holdings Inc.,87.00,+5.95,+7.34%,"276,808","204,059",3.228B,N/A,
GCPEF,GCL-Poly Energy Holdings Limited,0.1796,+0.0121,+7.22%,"307,663","48,260",3.743B,17.96,
RDFN,Redfin Corporation,72.75,+4.87,+7.17%,4.019M,1.508M,7.446B,N/A,
HCACW,Hennessy Capital Acquisition Corp. IV,5.61,+0.36,+6.86%,"939,271",N/A,3.546B,N/A,
FMCKL,Freddie Mac,8.44,+0.54,+6.84%,"27,769","5,309",6.175B,N/A,
PENN,"Penn National Gaming, Inc.",88.73,+5.64,+6.79%,5.92M,6.828M,13.782B,N/A,
