date,jeniskantor,namakantor,cabanginduk,alamat,kodepos,operational_hour,telephone,fax,telex,atm,jenis,mapsurl
12-Kalimantan-Kantor Wilayah,Kantor Wilayah,Kantor Wilayah 5,Balikpapan,"Kavling 8 Square Blok A6 & A7, Lantai 3, RT 28 Jl. M.T. Haryono, Kel. Damai, Kec. Balikpapan Selatan",76114,Tutup Sementara,(0542) 7208888<br />(0542) 7209999,(0542) 765477,,,kantor,https://goo.gl/maps/mgKwVw5aTEr
12-Kalimantan-Kantor Cabang,Kantor Cabang,Balikpapan,Balikpapan,"Kavling 8 Square Blok A6 & A7, RT 28 Jl. M.T. Haryono, Kel. Damai, Kec. Balikpapan Selatan",76114,08.30 - 14.30,(0542) 7208888<br />(0542) 7209999,(0542) 765477,,y,kantor,https://goo.gl/maps/mgKwVw5aTEr
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Plaza Kebun Sayur,Balikpapan,"Ruko Plaza Kebun Sayur No. T.36, Jl. Jend. Suprapto, Kel. Baru Ilir, Kec. Balikpapan Barat",76131,08.30 - 14.30,(0542) 748 073,(0542) 748 074,,y,kantor,https://goo.gl/maps/jfnjCfQQPzp
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Gunung Sari,Balikpapan,"Jl. Jend. A. Yani No. 267, Balikpapan",76121,08.30 - 14.30,(0542) 732531,(0542) 732534,,y,kantor,https://goo.gl/maps/VvE5CY6bPjA2
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Balikpapan Permai ,Balikpapan,"Komplek Balikpapan Permai, Jl. Jend. Sudirman Blok C/II No. 88, Balikpapan",76114,08.30 - 14.30,(0542) 733238<br />(0542) 733228,(0542) 733238,,n,kantor,https://goo.gl/maps/CwWzMxeMwTk
12-Kalimantan-ATM,Kantor Cabang,Balikpapan,Balikpapan,"Kavling 8 Square Blok A6 & A7, RT 28 Jl. M.T. Haryono, Kel. Damai, Kec. Balikpapan Selatan",76114,Beroperasi,(0542) 7208888<br />(0542) 7209999,(0542) 765477,,y,atm,https://goo.gl/maps/mgKwVw5aTEr
12-Kalimantan-ATM,Kantor Cabang Pembantu,Plaza Kebun Sayur,Balikpapan,"Ruko Plaza Kebun Sayur No. T.36, Jl. Jend. Suprapto, Kel. Baru Ilir, Kec. Balikpapan Barat",76131,Beroperasi,(0542) 748 073,(0542) 748 074,,y,atm,https://goo.gl/maps/jfnjCfQQPzp
12-Kalimantan-ATM,Kantor Cabang Pembantu,Gunung Sari,Balikpapan,"Jl. Jend. A. Yani No. 267, Balikpapan",76121,Beroperasi,(0542) 732531,(0542) 732534,,y,atm,https://goo.gl/maps/VvE5CY6bPjA2
12-Sumatera-Kantor Cabang,Kantor Cabang,Bandar Lampung,Bandar Lampung,"Jl. Ikan Tenggiri No. 17/A, Teluk Betung, Bandar Lampung",35223,08.30 - 14.30,(0721) 482982,(0721) 482951,,y,kantor,https://goo.gl/maps/8hAHUpfrDQx
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tanjung Karang ,Bandar Lampung,"Jl. Padang Blok B III No. 2, Tanjung Karang",35111,Tutup Sementara,(0721) 261155,(0721) 241106,,n,kantor,https://goo.gl/maps/Ery6J5mQj2s
