,LocationType,Type,Name,Address,City,Latitude,Longitude
0,Branch,KCU,KCU MENARA BCA,"Menara BCA, Grand Indonesia Lt. 28 Jl. MH Thamrin No. 1",Jakarta Pusat,-6.197056,106.822345
1,Branch,KCU,KCU THAMRIN,"Menara BCA, Grand Indonesia, Jl. MH Thamrin No. 1",Jakarta Pusat,-6.196485,106.822252
2,Branch,KCU,KCU CITY TOWER,"The City Tower, Ground Floor, Jl. MH. Thamrin No. 81",Jakarta Pusat,-6.199065,106.823598
3,Branch,KCP,KCP Thamrin Nine,"Thamrin Nine Podium Area - UG Unit A, Jl. MH Thamrin No. 10",Jakarta Pusat,-6.199432,106.822763
4,Branch,KCP,KCP Mall Grand Indonesia,"Gedung Grand Indonesia Mall A, Lower Ground No. 20-21, Jl. MH Thamrin No. 1",Jakarta Pusat,-6.195481,106.819717
5,Branch,KCP,KCP Plaza Index,"Gedung Plaza Bank Index Ground Floor Suite GF-21, Jl. MH. Thamrin No. 57, Jakarta",Jakarta Pusat,-6.192286,106.823415
6,Branch,KCP,KCP Menteng,Jl. HOS Cokroaminoto No. 83,Jakarta Pusat,-6.197455,106.828705
7,Branch,KK,KK Kantor Kas Thamrin City,"Gd. Thamrin City Lt. Dasar 1 Tower Cosmo Terrace CT/CL/1, Jl. MH Thamrin Boulevard (d/h Kebon Kacang Raya)",Jakarta Pusat,-6.1943,106.81663
8,Branch,KCP,KCP Empat Enam,"Wisma 46 Lantai Dasar, Jl. Jend. Sudirman Kav. 1",Jakarta Pusat,-6.203499,106.820096
9,Branch,KCP,KCP Wisma Indocement,"Wisma Indocement, Gd.Annex Lt. Dasar, Jl. Jend. Sudirman Kav. 1",Jakarta Selatan,-6.205066,106.823236
10,Branch,KCP,KCP Sabang,Jl. H. Agus Salim 57 B,Jakarta Pusat,-6.186537,106.825284
11,Branch,KCU,KCU WAHID HASYIM,Jl. KH. Wahid Hasyim No. 183 A-B,Jakarta Pusat,-6.187387,106.816771
12,Branch,KCP,KCP Wahid Hasyim,Jl. KH Wahid Hasyim 82,Jakarta Pusat,-6.186814,106.827869
13,Branch,KCP,KCP Menara Thamrin,"Menara Thamrin Lantai 1 Ruang 106, Jl. MH. Thamrin Kav. 3, Jakarta",Jakarta Pusat,-6.185555,106.822797
14,Branch,KK,KK Kantor Kas Metro Tanah Abang,Pusat Grosir Metro Tanah Abang LG Blk A,Jakarta Pusat,-6.187744,106.815966
15,Branch,KCP,KCP Metro Tanah Abang,Pusat Grosir Metro Tanah Abang 2 Lt. 7 No. 10 Jl. KH Wahid Hasyim No. 189,Jakarta Pusat,-6.187744,106.815966
16,Branch,KCP,KCP Reg.Tanah Abang,"Pasar Regional Tanah Abang Blok F, Lt. Dasar",Jakarta Pusat,-6.18797,106.814334
17,Branch,KCP,KCP Tanah Abang Blok A,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081",Jakarta Pusat,-6.18797,106.814334
18,Branch,KCP,KCP Tanah Abang Blok B,"Gedung Pasar Tanah Abang Blok B Lantai 5 Kios Nomor 3, 5, 6 Jl. KH Fachrudin No. 78, 80, 82",Jakarta Pusat,-6.18797,106.814334
